id	french_title	tags
tt0041699	Chien enragé	crime drama film-noir mysteri thriller dure a swelter summer, a rooki homicid detect tri to track down hi stolen colt pistol. gun detect filmnoir tokyo japan postwarjapan heatwav sceneofthecrim wipetheeditingeffect kurosawaandmifun detect bu akirakurosawa
tt0041870	Le duel silencieux	drama a surgeon get syphili from a patient when he cut himself dure an operation. the doctor' life is destroyed, but unlik the patient, he doesn't destroy other along with him. nurs syphilli surgeon doctor fieldhospit year1944 year1946 1940 infectiousdiseas diseas akirakurosawa
tt0042031	Flamme de mon amour	"drama romanc a woman' struggl for equal in japan in the 1880s. eiko hirayama leav okayama for tokyo, where she help the fledgl liber parti and fall in love with it leader kentaro omoi, just as the parti is be disband by the government. eiko and omoi are jail becaus of a fire at a factori instig by chiyo, a servant girl from eiko' home in okayama, who wa sold to slavery. a few year later the 1889 constitut is proclaimed, eiko, omoi, and chiyo are pardoned, and the liber parti is reinaugurated. howev omoi doe not campaign for women' rights. liberalparti ""womensrights"" servant 1880 mill kenjimizoguchi"
tt0042054	Corbeaux et moineaux	drama a stori of a corrupt parti offici who attempt to sell an apart build he ha appropri from the origin owner and the struggl of the tenant to prevent themselv be thrown onto the street. parti junlizheng
tt0042505	Sanshirô de Ginza	drama konichikawa
tt0042591	La rue en colère	crime drama sudo (hara yasumi) and mori (uno jukichi) are two univers student who make money by pick up rich girl in danc club and con them into give them cash. mori is the brain of the operation, and sudo is the suav dancer who pick up the girls. over the cours of the film, sudo becom involv with three differ girl and is drawn into the gangster milieu, which he seem unabl to resist even though he is respons for hi mother, grandmother, and sister, masako (wakayama setsuko). in thi world of bad boy and girls, masako is the pillar of strength and moral virtu who final enabl mori to straighten out. mikionarus
tt0042604	Rapport sur la conduite du professeur Ishinaka	comedi three stori of young love, link by each of the set of lover be counsel by the wise professor ishinaka. in the first story, a young man and hi famili search for a cach of hidden gasolin left over from the war. a pretti girl hold the key to whether the fuel can be found. in the second tale, two young lover shame their father for go to see a burlesqu show, lead to argument that threaten to destroy the bud romance. the third stori is about a girl given a propheci that she will meet her futur husband in the day coupl of days, and the shi young farmer she encount subsequently. mikionarus
tt0042639	Kike wadatsumi no koe: Nippon senbotsu gakusei shuki	war student basedonnovel hideosekigawa
tt0042762	Les Sœurs Munakata	drama setsuko is unhappili marri to mimura, an engin with no job and a drink habit. she' alway been in love with hiroshi, but he left for franc year ago without proposing. now he is back and mariko (setsuko' sister) tri to reunit them, although secretli she love him too. generationgap troubledmarriag sister engin sistersisterrelationship impossiblelov basedonnovel yasujirôozu
tt0042778	Les Cloches de Nagasaki	romanc basedonnovel hideoôba
